TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR,G(t),Tp,ηref,A,P,Energi/hari,SSavg,Gavg,Tavg,Eavg,Etotal
2025-07-01,25.5,30,26.8,70,0,8,6,100,4,E,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,8,665,26.7,38.79,1202.4
2025-07-02,25.2,30.3,26.9,67,0,8,8,120,4,E,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-07-03,24.4,31.2,26.8,72,0,8,4,100,3,E,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,,,,,
2025-07-04,24.6,31.4,26.9,73,0,8,5,150,3,SE,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-07-05,24.2,31.4,26.9,74,0,8,5,140,4,SE,666.6666667,46.9,0.18248,50,4866.133333,38.92906667,,,,,
2025-07-06,25.2,32.1,27.6,67,0,8,7,140,4,E,666.6666667,47.6,0.18192,50,4851.2,38.8096,,,,,
2025-07-07,24.1,31.4,27,67,0,8,8,100,3,SE,666.6666667,47,0.1824,50,4864,38.912,,,,,
2025-07-08,24.4,31.4,26.8,73,0,8,4,140,3,SE,666.6666667,46.8,0.18256,50,4868.266667,38.94613333,,,,,
2025-07-09,24.8,30.8,27,61,0,8,5,110,3,SE,666.6666667,47,0.1824,50,4864,38.912,,,,,
2025-07-10,19.8,31.4,24.4,71,0,8,4,150,2,SE,666.6666667,44.4,0.18448,50,4919.466667,39.35573333,,,,,
2025-07-11,21,32,27.3,65,0,8,8,100,5,E,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-07-12,25,32,27.4,69,0,8,7,100,4,E,666.6666667,47.4,0.18208,50,4855.466667,38.84373333,,,,,
2025-07-13,25.8,31.9,27.8,71,0,8,6,90,4,E,666.6666667,47.8,0.18176,50,4846.933333,38.77546667,,,,,
2025-07-14,26.1,32.6,28.3,68,0,8,7,100,4,SE,666.6666667,48.3,0.18136,50,4836.266667,38.69013333,,,,,
2025-07-15,25.1,32.6,27.3,71,0,8,5,150,2,SE,666.6666667,47.3,0.18216,50,4857.6,38.8608,,,,,
2025-07-16,20.7,31.2,24.8,74,0,8,3,110,1,C,666.6666667,44.8,0.18416,50,4910.933333,39.28746667,,,,,
2025-07-17,20.3,30.6,25.2,76,0,8,7,360,2,SE,666.6666667,45.2,0.18384,50,4902.4,39.2192,,,,,
2025-07-18,20.4,29.7,24.1,77,0,8,3,290,2,SE,666.6666667,44.1,0.18472,50,4925.866667,39.40693333,,,,,
